year,stateabbr,locationname,category,measure,data_value,data_value_unit
2023,AL,Tuscaloosa,Health-Related Social Needs,Housing insecurity in the past 12 months among adults,14.3,%
2022,AR,Baxter,Health Risk Behaviors,Short sleep duration among adults,37.4,%
2023,AR,Conway,Health Outcomes,High blood pressure among adults,46.8,%
2023,AL,Henry,Health Outcomes,Chronic obstructive pulmonary disease among adults,9.7,%
2023,AL,Colbert,Prevention,Taking medicine to control high blood pressure among adults with high blood pressure,60.2,%
2023,AR,Marion,Health-Related Social Needs,Lack of social and emotional support among adults,27.0,%
2023,AL,Sumter,Disability,Any disability among adults,40.4,%
2022,AL,Autauga,Prevention,Mammography use among women aged 50-74 years,80.9,%
2023,AR,Miller,Health-Related Social Needs,Utility services shut-off threat in the past 12 months among adults,13.6,%
2022,AK,Kodiak Island,Prevention,Visited dentist or dental clinic in the past year among adults,55.7,%
2023,AR,Marion,Health Outcomes,High cholesterol among adults who have ever been screened,33.0,%
2023,AK,Hoonah-Angoon,Disability,Any disability among adults,33.7,%
2023,CA,Plumas,Prevention,Cholesterol screening among adults,83.7,%
2023,AR,Lawrence,Health Risk Behaviors,No leisure-time physical activity among adults,34.8,%
2023,AL,Jackson,Prevention,Taking medicine to control high blood pressure among adults with high blood pressure,60.0,%
2023,AR,Madison,Health Outcomes,Cancer (non-skin) or melanoma among adults,9.2,%
2023,AR,Randolph,Prevention,Cholesterol screening among adults,80.6,%
2023,AL,Cullman,Disability,Mobility disability among adults,14.2,%
2023,AL,Clay,Health-Related Social Needs,Utility services shut-off threat in the past 12 months among adults,9.4,%
2023,AR,Craighead,Prevention,Cholesterol screening among adults,83.6,%
2023,AR,Crawford,Health-Related Social Needs,Lack of reliable transportation in the past 12 months among adults,9.7,%
2023,AR,Howard,Health Risk Behaviors,Binge drinking among adults,15.4,%
2023,AL,Clay,Health-Related Social Needs,Housing insecurity in the past 12 months among adults,13.6,%
2023,AL,Etowah,Health-Related Social Needs,Loneliness among adults,36.9,%
2023,AL,Etowah,Health Status,Frequent physical distress among adults,16.4,%
2023,AZ,Apache,Disability,Independent living disability among adults,14.3,%
2023,AL,Russell,Health Outcomes,Cancer (non-skin) or melanoma among adults,6.1,%
2023,AL,Lamar,Health Outcomes,Current asthma among adults,10.5,%
2023,AL,Montgomery,Disability,Cognitive disability among adults,16.4,%
2023,CA,Merced,Health-Related Social Needs,Housing insecurity in the past 12 months among adults,22.7,%
2023,AL,Pike,Disability,Independent living disability among adults,11.3,%
2023,AR,Prairie,Health Status,Frequent mental distress among adults,18.0,%
2023,AR,Clark,Health Risk Behaviors,Current cigarette smoking among adults,15.0,%
2023,CA,Nevada,Disability,Vision disability among adults,4.6,%
2023,CA,Amador,Disability,Vision disability among adults,4.8,%
2023,AL,Lee,Health Outcomes,Obesity among adults,39.9,%
2023,AR,Carroll,Health-Related Social Needs,Lack of reliable transportation in the past 12 months among adults,10.2,%
2023,AR,Sevier,Health Outcomes,High cholesterol among adults who have ever been screened,34.7,%
2023,AL,Chambers,Health-Related Social Needs,Received food stamps in the past 12 months among adults,19.1,%
2023,AL,Monroe,Health Risk Behaviors,Binge drinking among adults,13.4,%
2023,AK,Chugach,Prevention,Visits to doctor for routine checkup within the past year among adults,65.7,%
2023,AL,Pike,Health Outcomes,Obesity among adults,40.3,%
2023,CA,Imperial,Health Outcomes,Current asthma among adults,9.2,%
2023,AR,Clay,Health Outcomes,High cholesterol among adults who have ever been screened,41.1,%
2023,CA,Contra Costa,Disability,Hearing disability among adults,5.8,%
2023,AR,Drew,Health Outcomes,Obesity among adults,45.0,%
2023,AL,Fayette,Disability,Cognitive disability among adults,19.5,%
2023,AR,Dallas,Disability,Vision disability among adults,7.1,%
2023,CA,San Benito,Health Outcomes,Cancer (non-skin) or melanoma among adults,5.7,%
2023,AL,Autauga,Disability,Cognitive disability among adults,15.9,%
2023,AL,Fayette,Prevention,Visits to doctor for routine checkup within the past year among adults,80.6,%
2023,AR,Arkansas,Health-Related Social Needs,Lack of social and emotional support among adults,30.5,%
2023,AL,Jefferson,Health-Related Social Needs,Housing insecurity in the past 12 months among adults,15.0,%
